Nom du Produit en Français	AGB 3.1  Score unique EF (mPt/kg de produit)
Abricot au sirop léger, appertisé, égoutté	0.17164602
Abricot au sirop léger, appertisé, non égoutté	0.10102597
Abricot au sirop, appertisé, égoutté	0.17430091
Abricot au sirop, appertisé, non égoutté	0.10102597
Abricot, dénoyauté, cru	0.11300788
Abricot, dénoyauté, sec	0.3911101
Accra de poisson	0.91645029
Agar (algue), cru	1.2318794
Agneau, collier, braisé ou bouilli	5.9744535
Agneau, collier, cru	4.7043951
Agneau, côte filet, crue	4.7043951
Agneau, côte filet, grillée/poêlée	5.9557714
Agneau, côte première, crue	4.7043951
Agneau, côte première, grillée/poêlée	5.9557714
Agneau, côtelette, crue	4.703093
Agneau, côtelette, grillée	5.9541219
Agneau, épaule, crue	3.7608858
Agneau, épaule, maigre, crue	3.7608858
Agneau, épaule, maigre, rôtie/cuite au four	4.782559
Agneau, épaule, rôtie/cuite au four	4.782559
Agneau, gigot, braisé	5.9744535
Agneau, gigot, cru	4.7043951
Agneau, gigot, grillé/poêlé	5.9557714
Agneau, gigot, rôti/cuit au four	5.9744535
Agneau, selle, crue	4.7043951
Agneau, selle, partie maigre, grillée/poêlée	5.9557714
Agneau, selle, partie maigre, rôtie/cuite au four	5.9744535
Ail séché, poudre	0.10314961
Ail, cru	0.063813742
Alcool pur	0.11980418
Aligot (purée de pomme de terre à la tomme fraîche)	0.31857699
Amande (avec peau)	0.76209766
Amande, grillée, salée	0.76209766
Amande, mondée, émondée ou blanchie	0.76209766
Amarante, crue	0.14173396
Amidon de maïs ou fécule de maïs	0.16911178
Ananas au sirop et jus d'ananas, appertisé, égoutté	0.24888513
Ananas au sirop et jus d'ananas, appertisé, non égoutté	0.1511639
Ananas au sirop léger, appertisé, égoutté	0.25110607
Ananas au sirop léger, appertisé, non égoutté	0.1511639
Ananas, pulpe, cru	0.1798892
Anchois au sel (anchoité, semi-conserve)	0.29792146
Anchois commun, cru	0.29792146
Anchois commun, mariné	0.25343882
Anchois, filets à l'huile, semi-conserve, égoutté	0.24641095
Anchois, filets roulés aux câpres, semi-conserve, égoutté	0.24641095
Andouille	2.1056586
Andouille de Guéméné	2.1056586
Andouille de Vire	2.1056586
Andouille, réchauffée à la poêle	2.1056586
Andouillette de Troyes, crue	2.0740644
Andouillette, crue	2.0740644
Andouillette, sautée/poêlée	2.1056586
Aneth, frais	0.13208131
Ao-nori (Enteromorpha sp.), séchée ou déshydratée	1.2318794
Apéritif à base de vin ou vermouth	0.1656427
Arachide, bouillie/cuite à l'eau, salée	0.58876166
Artichaut, appertisé, égoutté	0.19792523
Artichaut, coeur, appertisé, égoutté	0.19792523
Artichaut, cru	0.37431691
Artichaut, cuit	0.13489622
Artichaut, fond, appertisé, égoutté	0.20870507
Artichaut, fond, surgelé, cru	0.1965656
Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté	1.2052509
Asiago	0.57026768
Asperge, appertisée, égouttée	0.19722749
Asperge, blanche ou violette, pelée, crue	0.29912738
Asperge, bouillie/cuite à l'eau	0.39174006
Asperge, pelée, crue	0.29364617
Asperge, verte, crue	0.29912738
Aubergine, crue	0.072058876
Aubergine, cuite	0.11045216
Avocat, pulpe, cru	0.3326833
Avoine, crue	0.2331202
Baba au rhum, préemballé	0.11676745
Bagel	0.13444037
Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop)	0.45724581
Bambou, pousse, crue	0.21943367
Bambou, pousses, appertisées, égouttées	0.26336221
Banane plantain, crue	0.11321623
Banane plantain, cuite	0.19191266
Banane, pulpe, crue	0.11925408
Banane, pulpe, sèche	0.55999685
Bar commun ou loup (Méditerranée), cru, élevage	1.9024819
Bar commun ou loup (Méditerranée), cru, sauvage	1.5716205
Bar commun ou loup, cru, sans précision	1.9024819
Bar commun ou loup, rôti/cuit au four	2.3517527
Bar ou loup de l'Atlantique, cru	1.9024819
Bar rayé ou bar d'Amérique, cru	1.9024819
Barre à la noix de coco, enrobée de chocolat	0.30476257
Barre biscuitée fourrée aux fruits, allégée en matière grasse	0.31231436
Barre céréalière "équilibre" aux fruits, enrichie en vitamines et minéraux	0.32463384
Barre céréalière "équilibre" chocolatée, enrichie en vitamines et minéraux	0.48020535
Barre céréalière aux amandes ou noisettes	0.50659105
Barre céréalière aux fruits	0.32463384
Barre céréalière chocolatée	0.48020535
Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux	0.48020535
Barre chocolat au lait avec nougat	0.30476257
Barre chocolatée aux fruits secs	0.30476257
Barre chocolatée biscuitée	0.50855387
Barre chocolatée non biscuitée enrobée	0.44344204
Barre glacée chocolatée	0.22353537
Barre goûter frais au lait et chocolat	0.49676423
Barre goûter frais au lait et chocolat avec génoise	0.49676423
Barres ou confiserie chocolatées au lait	0.49676423
Base de pizza à la crème	0.222564
Base de pizza tomatée	0.14662923
Basilic, frais	0.13208131
Basilic, séché	0.39831561
Beaufort	0.57092594
Beignet à la confiture	0.23153435
Beignet de crevette	0.39660599
Beignet de légumes	0.25600878
Beignet de viande, volaille ou poisson, fait maison	0.8611308
Beignet fourré aux fruits, préemballé	0.25389321
Beignet fourré goût chocolat, préemballé	0.40606042
Beignet rond moelleux, sans fourrage, saupoudré de sucre	0.22089053
Bette ou blette, crue	0.058446752
Bette ou blette, cuite	0.10896303
Betterave rouge, crue	0.055979459
Betterave rouge, cuite	0.10822728
Beurre à 39-41% MG, léger, doux	0.61146879
Beurre à 60-62% MG, à teneur réduite en matière grasse, demi-sel	0.69590995
Beurre à 60-62% MG, à teneur réduite en matière grasse, doux	0.69862985
Beurre à 80% MG, demi-sel	0.75166058
Beurre à 80% MG, salé	0.75166058
Beurre à 82% MG, doux	0.7571373
Beurre à 82% MG, doux, tendre	0.7571373
Beurre de cacahuète ou Pâte d'arachide	0.48392303
Beurre de cacao	1.3031744
Bicarbonate de soude	0.22206534
Bière "coeur de marché" (4-5° alcool)	0.12352546
Bière "de spécialités" ou d'abbaye, régionales ou d'une brasserie (degré d'alcool variable)	0.12352546
Bière "spéciale" (5-6° alcool)	0.12352546
Bière brune	0.12352546
Bière faiblement alcoolisée (3° alcool)	0.12352546
Bière forte (>8° alcool)	0.12352546
Bière sans alcool (<1,2° alcool)	0.12352546
Biscotte briochée	0.12883416
Biscotte classique	0.12883416
Biscotte complète ou riche en fibres	0.12883416
Biscotte multicéréale	0.12883416
Biscotte sans adjonction de sel	0.12883416
Biscuit apéritif à base de pomme de terre, type tuile salée	0.22331806
Biscuit apéritif feuilleté	0.22331806
Biscuit apéritif soufflé, à base de maïs, à la cacahuète	0.22331806
Biscuit apéritif soufflé, à base de maïs, sans cacahuète	0.22331806
Biscuit apéritif soufflé, à base de pomme de terre	0.22331806
Biscuit apéritif soufflé, à base de pomme de terre et de soja	0.22331806
Biscuit apéritif, crackers, garni ou fourré, au fromage	0.22331806
Biscuit apéritif, crackers, nature	0.22331806
Biscuit apéritif, crackers, nature, allégé en matière grasse	0.22331806
Biscuit apéritif, mini bretzel ou sticks	0.22331806
Biscuit aux céréales pour petit déjeuner, enrichis en vitamines et minéraux	0.35191155
Biscuit de Savoie	0.48717584
Biscuit moelleux fourré à l'orange et enrobé de sucre glace	0.31231436
Biscuit pâtissier meringué	0.32012851
Biscuit pour bébé	0.32012851
Biscuit sec (génoise) nappage aux fruits, type barquette	0.31231436
Biscuit sec à teneur garantie en vitamines	0.32012851
Biscuit sec à teneur garantie en vitamines et minéraux	0.35191155
Biscuit sec au beurre, sablé, galette ou palet	0.37745031
Biscuit sec au beurre, sablé, galette ou palet, au chocolat	0.46788588
Biscuit sec au lait	0.25749519
Biscuit sec aux fruits, hyposodé	0.31231436
Biscuit sec aux œufs à la cuillère (cuiller) ou Boudoir	0.32012851
Biscuit sec avec nappage chocolat	0.52417041
Biscuit sec avec tablette de chocolat	0.52417041
Biscuit sec chocolaté, préemballé	0.46788588
Biscuit sec chocolaté, type barquette	0.46788588
Biscuit sec chocolaté, type galette	0.46788588
Biscuit sec chocolaté, type tartelette	0.46788588
Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse	0.49427158
Biscuit sec croquant au chocolat, allégé en matière grasse	0.46788588
Biscuit sec feuilleté, type palmier ou autres	0.31639735
Biscuit sec fourré à la pâte ou purée de fruits	0.31231436
Biscuit sec fourré aux fruits, allégé en matière grasse	0.31231436
Biscuit sec fourré fruits à coque (non ou légèrement chocolaté)	0.49427158
Biscuit sec nappé aux fruits, tartelette	0.31231436
Biscuit sec nature	0.35191155
Biscuit sec ou tuile, aux amandes	0.49427158
Biscuit sec pauvre en glucides	0.35191155
Biscuit sec petit beurre	0.25749519
Biscuit sec petit beurre au chocolat	0.46788588
Biscuit sec pour petit déjeuner	0.35191155
Biscuit sec pour petit déjeuner, allégé en sucres	0.35191155
Biscuit sec pour petit déjeuner, au chocolat	0.46788588
Biscuit sec type langue de chat ou cigarette russe	0.4260193
Biscuit sec type tuile, aux fruits	0.39553642
